,score,true_states,pred_states,params,iteration
1081,0.75,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'B', 'B', 'B', 'B']","{'background_activity': 13.855558143033827, 'cue_length': 1, 'cue_percentage': 100, 'delay_A2GO': 2.146340291734984, 'delay_gap_A2B': 0.17325199635748817, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -48.62091916491245, 'w_acpt': 2.040746087574019, 'w_trans': 6.9123095710103195}",1081
1583,0.75,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'B', 'B', 'B', 'B']","{'background_activity': 13.855558143033827, 'cue_length': 1, 'cue_percentage': 100, 'delay_A2GO': 2.0396176842457985, 'delay_gap_A2B': 0.022570150023115507, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -46.882496229696734, 'w_acpt': 1.943083528961205, 'w_trans': 7.847959288309794}",1583
703,0.75,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'B', 'B', 'B', 'two']","{'background_activity': 13.855558143033827, 'cue_length': 1, 'cue_percentage': 100, 'delay_A2GO': 2.1117009914833655, 'delay_gap_A2B': 0.05561957310376487, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -48.49543960712903, 'w_acpt': 1.9671324037915838, 'w_trans': 6.918451645348244}",703
1812,0.625,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'B', 'A', 'B', 'A']","{'background_activity': 13.855558143033827, 'cue_length': 1, 'cue_percentage': 100, 'delay_A2GO': 1.999280567564338, 'delay_gap_A2B': 0.006179486532722853, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -47.223888492996075, 'w_acpt': 2.1655025467981526, 'w_trans': 7.087615204536815}",1812
1356,0.625,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'B', 'A', 'two', 'B']","{'background_activity': 13.855558143033827, 'cue_length': 1, 'cue_percentage': 100, 'delay_A2GO': 1.9477410079274695, 'delay_gap_A2B': 0.13409755944443505, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -47.61611738506521, 'w_acpt': 1.8628655722271954, 'w_trans': 8.995368970045174}",1356
1320,0.5,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'A', 'A', 'A', 'A']","{'background_activity': 13.855558143033827, 'cue_length': 1, 'cue_percentage': 100, 'delay_A2GO': 1.7307922216163476, 'delay_gap_A2B': 0.008246789545382605, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -46.907040199624525, 'w_acpt': 1.9244257632046629, 'w_trans': 8.116988383896363}",1320
1048,0.5,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'A', 'A', 'B', 'B']","{'background_activity': 13.855558143033827, 'cue_length': 1, 'cue_percentage': 100, 'delay_A2GO': 1.82600136198862, 'delay_gap_A2B': 0.06357774634688666, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -46.439246187019755, 'w_acpt': 2.191633842188042, 'w_trans': 4.799304398820933}",1048
753,0.5,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'A', 'two', 'A', '1']","{'background_activity': 13.855558143033827, 'cue_length': 1, 'cue_percentage': 100, 'delay_A2GO': 2.0734452623828985, 'delay_gap_A2B': 0.163914854627726, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -49.11439513370519, 'w_acpt': 1.90988457046491, 'w_trans': 5.41000228735653}",753
1806,0.5,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'two', 'two', 'two', 'two']","{'background_activity': 13.855558143033827, 'cue_length': 1, 'cue_percentage': 100, 'delay_A2GO': 1.8950356536719817, 'delay_gap_A2B': 0.08462006392746295, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -47.551545743794236, 'w_acpt': 2.1437831429108374, 'w_trans': 7.778943656084428}",1806
1200,0.5,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'A', 'A', 'B', 'two']","{'background_activity': 13.855558143033827, 'cue_length': 1, 'cue_percentage': 100, 'delay_A2GO': 2.0823118379790193, 'delay_gap_A2B': 0.060003229007797004, 'e_e_max_weight': 14.337885250035841, 'e_i_weight': 4.253159333783978, 'i_e_weight': 5.302236785709991, 'i_frequency': 31.841289668071244, 'thr_GO_state': -47.65683218809215, 'w_acpt': 1.9758610694030965, 'w_trans': 5.811184233669915}",1200
