,score,true_states,pred_states,params,iteration
1867,1.0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","{'background_activity': 13.463049132500784, 'cue_length': 0.618693319550573, 'cue_percentage': 100, 'delay_A2GO': 2.9243363615056497, 'delay_gap_A2B': 0.1885699680484039, 'e_e_max_weight': 10.917122353305867, 'e_i_weight': 7.800091869289792, 'i_e_weight': 5.3498469725171995, 'i_frequency': 24.370925048981018, 'thr_GO_state': -49.033000405721, 'w_acpt': 7.208151434300408, 'w_trans': 9.359174642772022}",1867
1112,1.0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","{'background_activity': 26.02748263823913, 'cue_length': 0.5757828552178094, 'cue_percentage': 100, 'delay_A2GO': 2.8389684299240363, 'delay_gap_A2B': 0.026413844824387425, 'e_e_max_weight': 13.657129046885265, 'e_i_weight': 6.888052501488922, 'i_e_weight': 19.968804640662537, 'i_frequency': 19.427931484705343, 'thr_GO_state': -53.999974569518756, 'w_acpt': 7.758792895317233, 'w_trans': 7.676149614432955}",1112
1113,1.0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","{'background_activity': 11.037595896326875, 'cue_length': 0.5205572329613486, 'cue_percentage': 100, 'delay_A2GO': 2.939274428578244, 'delay_gap_A2B': 0.04134964166331371, 'e_e_max_weight': 14.202039317620157, 'e_i_weight': 4.263660197144685, 'i_e_weight': 13.425457915361832, 'i_frequency': 21.48003263152296, 'thr_GO_state': -49.7147528651858, 'w_acpt': 6.33255474400755, 'w_trans': 5.871545844226315}",1113
1666,1.0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","{'background_activity': 13.345988592458, 'cue_length': 0.5613387124735447, 'cue_percentage': 100, 'delay_A2GO': 2.903119872632569, 'delay_gap_A2B': 0.05660632620309724, 'e_e_max_weight': 13.228071970019357, 'e_i_weight': 4.355329118742644, 'i_e_weight': 18.42852250498128, 'i_frequency': 14.64713686891149, 'thr_GO_state': -49.914140888124265, 'w_acpt': 6.147976061796287, 'w_trans': 13.12988800694036}",1666
1670,1.0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","{'background_activity': 10.338201497982578, 'cue_length': 0.5328857477956446, 'cue_percentage': 100, 'delay_A2GO': 2.944691373888255, 'delay_gap_A2B': 0.06397313564267848, 'e_e_max_weight': 14.504682167674892, 'e_i_weight': 4.11540915165759, 'i_e_weight': 17.831568775601486, 'i_frequency': 10.757648685751132, 'thr_GO_state': -48.6947063492414, 'w_acpt': 5.7215263205402875, 'w_trans': 6.074387120921558}",1670
1275,1.0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","{'background_activity': 23.591295937252383, 'cue_length': 0.5442523937802951, 'cue_percentage': 100, 'delay_A2GO': 2.738293352809052, 'delay_gap_A2B': 0.015629387513766135, 'e_e_max_weight': 10.927631727233104, 'e_i_weight': 6.369040543002209, 'i_e_weight': 11.654857369761038, 'i_frequency': 19.44906394429584, 'thr_GO_state': -53.37711805747207, 'w_acpt': 7.405817202195172, 'w_trans': 7.2142370105712255}",1275
1846,1.0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","{'background_activity': 14.428291787494869, 'cue_length': 0.5706989251141344, 'cue_percentage': 100, 'delay_A2GO': 2.9829010180554723, 'delay_gap_A2B': 0.06910568179004974, 'e_e_max_weight': 12.529169169482222, 'e_i_weight': 5.321038761958861, 'i_e_weight': 16.122532125408757, 'i_frequency': 11.098059470200672, 'thr_GO_state': -50.324901072505966, 'w_acpt': 6.885966725039166, 'w_trans': 11.904614357078342}",1846
1848,1.0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","{'background_activity': 10.060826604543271, 'cue_length': 0.5924884238564416, 'cue_percentage': 100, 'delay_A2GO': 2.9961886690857527, 'delay_gap_A2B': 0.04196685244726329, 'e_e_max_weight': 11.628321509516175, 'e_i_weight': 5.0167797319327825, 'i_e_weight': 17.267032248723687, 'i_frequency': 10.844184481498392, 'thr_GO_state': -50.12701843862585, 'w_acpt': 7.019073426598956, 'w_trans': 8.079792681392533}",1848
1849,1.0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","{'background_activity': 12.139451189354848, 'cue_length': 0.5281708799633287, 'cue_percentage': 100, 'delay_A2GO': 2.8779013097896, 'delay_gap_A2B': 0.061363679954616016, 'e_e_max_weight': 12.317264996239341, 'e_i_weight': 4.36133423885868, 'i_e_weight': 17.863395622162752, 'i_frequency': 12.85542803328572, 'thr_GO_state': -49.72640967577149, 'w_acpt': 6.47805746844572, 'w_trans': 7.975192344514007}",1849
546,1.0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","{'background_activity': 14.43138329544883, 'cue_length': 0.9057922741032624, 'cue_percentage': 100, 'delay_A2GO': 2.9462552278336336, 'delay_gap_A2B': 0.08763113895729427, 'e_e_max_weight': 6.684098000451783, 'e_i_weight': 5.447840016292099, 'i_e_weight': 15.827525349095193, 'i_frequency': 13.116760555461155, 'thr_GO_state': -42.786893441579885, 'w_acpt': 7.019458562841875, 'w_trans': 5.5095505026419}",546
