,score,params,iteration,recall,accuracy,triggered,spontaneous
1769,0.9992658994777996,"{'attractor_size': 64, 'background_activity': 14.877670415476988, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 11.777008886327712, 'e_i_weight': 2.5473723291123207, 'i_e_weight': 17.053340759864533, 'i_frequency': 19.025346499760037, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1769,0.9985328759721144,1.0,105,0
1708,0.9990316909548246,"{'attractor_size': 64, 'background_activity': 15.915290074565576, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 13.207795585309478, 'e_i_weight': 2.5990196268989023, 'i_e_weight': 17.20057278233244, 'i_frequency': 18.199572704112136, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1708,0.9980652553404032,1.0,138,0
290,0.9989419535413625,"{'attractor_size': 64, 'background_activity': 15.187019306155292, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 12.012714149898326, 'e_i_weight': 4.012560784303298, 'i_e_weight': 13.654099672036061, 'i_frequency': 15.672824928269232, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",290,0.9978861436409598,1.0,154,0
1502,0.9988860643398458,"{'attractor_size': 64, 'background_activity': 11.851984743643452, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 12.131244548257243, 'e_i_weight': 3.806841262208332, 'i_e_weight': 17.373302960165336, 'i_frequency': 16.580348316663144, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1502,0.9977746076236176,1.0,189,0
789,0.9987006687919369,"{'attractor_size': 64, 'background_activity': 11.502449972610933, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 17.543844404619932, 'e_i_weight': 1.9879892318280006, 'i_e_weight': 17.23456480647883, 'i_frequency': 18.671611942745418, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",789,0.9974047097255214,1.0,175,0
271,0.9983003055449623,"{'attractor_size': 64, 'background_activity': 11.171482764969527, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 11.993236739686038, 'e_i_weight': 3.8983286591071336, 'i_e_weight': 11.769754735183048, 'i_frequency': 21.532599269116275, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",271,0.9966063792083666,1.0,152,0
297,0.9980351261230263,"{'attractor_size': 64, 'background_activity': 15.716341816839911, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 16.4074346209968, 'e_i_weight': 1.9650905399347949, 'i_e_weight': 12.896833993385567, 'i_frequency': 24.184436672609262, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",297,0.9960779585628168,1.0,132,0
799,0.9969463623255271,"{'attractor_size': 64, 'background_activity': 12.705241711995647, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 19.556637570263845, 'e_i_weight': 1.885269610188779, 'i_e_weight': 17.651343848809308, 'i_frequency': 19.86374112972093, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",799,0.9939113172819899,1.0,186,0
1866,0.9968976648804426,"{'attractor_size': 64, 'background_activity': 10.389748222455294, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 11.325594020447783, 'e_i_weight': 4.045594100371612, 'i_e_weight': 13.825677439363007, 'i_frequency': 18.782543491441704, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1866,0.9938145191952171,1.0,180,0
823,0.9966853111363606,"{'attractor_size': 64, 'background_activity': 13.908415893526199, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 18.255282454281964, 'e_i_weight': 2.0879788436882523, 'i_e_weight': 17.06350451753023, 'i_frequency': 20.92820574794125, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",823,0.9996777926430017,0.9937106918238994,158,1
