,score,params,iteration,recall,accuracy,triggered,spontaneous
1613,0.8951901053699105,"{'attractor_size': 64, 'background_activity': 14.519220380041414, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 13.564429409342152, 'e_i_weight': 6.159274366764051, 'i_e_weight': 9.621665437695139, 'i_frequency': 10.039393830728061, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1613,0.8230916398601721,0.9811320754716981,156,3
1715,0.8931649730960818,"{'attractor_size': 64, 'background_activity': 13.885022741306436, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 14.252252418617708, 'e_i_weight': 6.335926205376339, 'i_e_weight': 8.61630448468336, 'i_frequency': 10.024269497320049, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1715,0.806954018788579,1.0,120,0
1602,0.8917589410430222,"{'attractor_size': 64, 'background_activity': 14.543785207922086, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 13.767906578827649, 'e_i_weight': 5.961967503735509, 'i_e_weight': 9.453583380591839, 'i_frequency': 11.146750238115416, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1602,0.8046615254286844,1.0,124,0
908,0.8916354494821285,"{'attractor_size': 64, 'background_activity': 14.606727517559717, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 12.12324074736565, 'e_i_weight': 5.501738115807441, 'i_e_weight': 10.006907763371482, 'i_frequency': 11.618897322671096, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",908,0.8044604539774584,1.0,120,0
1644,0.891126840622976,"{'attractor_size': 64, 'background_activity': 14.37662454558178, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 14.58771269009656, 'e_i_weight': 6.371100024383032, 'i_e_weight': 8.268347286925014, 'i_frequency': 10.642593638103902, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1644,0.815660161373966,0.9819819819819819,109,2
752,0.8860528841621771,"{'attractor_size': 64, 'background_activity': 15.033959928246928, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 11.51516603964679, 'e_i_weight': 5.8312763081272605, 'i_e_weight': 11.047857198614135, 'i_frequency': 11.571473626341184, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",752,0.7954173690694089,1.0,128,0
1968,0.8858734475958124,"{'attractor_size': 64, 'background_activity': 14.570089889739585, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 14.079620982570455, 'e_i_weight': 6.12480328289126, 'i_e_weight': 9.637023964061061, 'i_frequency': 11.09239920497323, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1968,0.8002184165270679,0.9920634920634921,125,1
1405,0.8852728927785719,"{'attractor_size': 64, 'background_activity': 15.142981923549673, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 13.634053287599095, 'e_i_weight': 5.509287844905525, 'i_e_weight': 13.227396907782966, 'i_frequency': 10.025938297789107, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1405,0.8003928616323824,0.9902912621359223,102,1
1707,0.8834479680429616,"{'attractor_size': 64, 'background_activity': 14.308389282343402, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 15.356417303002099, 'e_i_weight': 6.277625463013772, 'i_e_weight': 9.061330495024292, 'i_frequency': 10.64975437917242, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1707,0.7962689062168803,0.9920634920634921,125,1
1811,0.8831360351940069,"{'attractor_size': 64, 'background_activity': 14.065900416859737, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 14.491666974278203, 'e_i_weight': 5.829657315597026, 'i_e_weight': 9.366696126400605, 'i_frequency': 10.018081648564939, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1811,0.7951877967683355,0.9929577464788732,141,1
