Unnamed: 0,score,params,iteration,recall,accuracy,triggered,spontaneous
1933,1.0,"{'attractor_size': 64, 'background_activity': 13.791037090774113, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 9.539824985869698, 'e_i_weight': 4.706900224329412, 'i_e_weight': 5.298755451613509, 'i_frequency': 10.44785847441313, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1933,1.0,1.0,352,0
997,0.9958990612268556,"{'attractor_size': 64, 'background_activity': 15.640322082942577, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 14.647677163638482, 'e_i_weight': 4.486668240053188, 'i_e_weight': 6.194091004639843, 'i_frequency': 10.026104604650781, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",997,0.9953323370908114,0.9964664310954064,282,1
1786,0.9907312616900428,"{'attractor_size': 64, 'background_activity': 14.880683527553396, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 10.258047377790556, 'e_i_weight': 4.45029295627134, 'i_e_weight': 5.562235893894817, 'i_frequency': 10.025286440042962, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1786,0.9816327644796013,1.0,345,0
925,0.9893658707729116,"{'attractor_size': 64, 'background_activity': 13.249970841434532, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 10.597167129858144, 'e_i_weight': 4.823809980481698, 'i_e_weight': 5.275615516554168, 'i_frequency': 10.041265688239543, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",925,0.9853865284292781,0.9933774834437086,300,2
852,0.9867318935773148,"{'attractor_size': 64, 'background_activity': 13.32030570041119, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 13.283878396700965, 'e_i_weight': 4.596973777772442, 'i_e_weight': 5.940700934970351, 'i_frequency': 10.011365243142459, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",852,0.9766846958208655,0.9969879518072288,331,1
1956,0.9840030511457565,"{'attractor_size': 64, 'background_activity': 16.02509007567429, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 9.835749852175883, 'e_i_weight': 4.4158566674505915, 'i_e_weight': 5.002976481306154, 'i_frequency': 10.009500432293288, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1956,0.9685098486323537,1.0,401,0
1905,0.9833093624238924,"{'attractor_size': 64, 'background_activity': 13.61793347145939, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 11.102536552517439, 'e_i_weight': 5.050146218656838, 'i_e_weight': 5.001065641814019, 'i_frequency': 10.599755411586138, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1905,0.9671667330075947,1.0,307,0
1608,0.9854107441869843,"{'attractor_size': 64, 'background_activity': 13.357614355750945, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 10.597883601448245, 'e_i_weight': 4.675023729178662, 'i_e_weight': 5.226026406623842, 'i_frequency': 10.560630184268227, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1608,0.9764375323674475,0.994550408719346,365,2
1304,0.9835063522966344,"{'attractor_size': 64, 'background_activity': 15.564643736131547, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 13.43776231067616, 'e_i_weight': 4.480703205041318, 'i_e_weight': 5.717204188600254, 'i_frequency': 10.020286453774677, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1304,0.9700375003962463,0.9973544973544972,377,1
1635,0.9859284506772911,"{'attractor_size': 64, 'background_activity': 14.461350013691593, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 11.692116850106828, 'e_i_weight': 4.822246584740167, 'i_e_weight': 5.011166502171741, 'i_frequency': 11.31997363175217, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1635,0.9793710463717473,0.9925742574257426,401,3
