,score,params,iteration,recall,accuracy,triggered,spontaneous
1768,1.3385771089567715,"{'attractor_size': 64, 'background_activity': 14.507320656848353, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 19.254936110821546, 'e_i_weight': 4.579597871086208, 'i_e_weight': 5.311577148744731, 'i_frequency': 10.014948799435473, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",1768,2.0463528762133256,0.994579945799458,367,2
1516,1.335658231251694,"{'attractor_size': 64, 'background_activity': 15.278203988837088, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 19.401555140852793, 'e_i_weight': 4.549860071985677, 'i_e_weight': 6.019749814514991, 'i_frequency': 10.011867928789352, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",1516,2.0516440658556823,0.9901234567901235,401,4
1755,1.3348230125857132,"{'attractor_size': 64, 'background_activity': 15.727165165123415, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 19.012163549892026, 'e_i_weight': 4.874478428244688, 'i_e_weight': 5.293613645833692, 'i_frequency': 10.002829686461062, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",1755,2.0558313667782775,0.9882352941176471,252,3
1313,1.3347363606927285,"{'attractor_size': 64, 'background_activity': 14.688326072615565, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 19.139628646738956, 'e_i_weight': 4.8484033122333345, 'i_e_weight': 5.28728524125562, 'i_frequency': 11.212666268284215, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",1313,2.031486356955812,0.9938650306748467,324,2
1620,1.3336114776177683,"{'attractor_size': 64, 'background_activity': 14.058381932732878, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 18.778583355980462, 'e_i_weight': 5.218275691285211, 'i_e_weight': 5.003264759606147, 'i_frequency': 10.0148685981812, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",1620,2.030809716104209,0.9927797833935018,275,2
992,1.3321103414992326,"{'attractor_size': 64, 'background_activity': 15.085588059676576, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 19.057389428528985, 'e_i_weight': 4.325334555314737, 'i_e_weight': 5.413727181161683, 'i_frequency': 10.014775649199128, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",992,2.0238637756551663,0.9927797833935018,275,2
1618,1.3313120487599834,"{'attractor_size': 64, 'background_activity': 15.625288017076885, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 18.17126354333407, 'e_i_weight': 4.037737032926049, 'i_e_weight': 6.298634978176913, 'i_frequency': 10.02342366054936, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",1618,1.9909317138004288,1.0,283,0
897,1.330889125080172,"{'attractor_size': 64, 'background_activity': 15.465796804614229, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 13.61111714954874, 'e_i_weight': 3.9441405441276958, 'i_e_weight': 5.6140888619216796, 'i_frequency': 10.015239250651835, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",897,2.0005083697703765,0.9971264367816092,347,1
814,1.3307035826489197,"{'attractor_size': 64, 'background_activity': 15.055512827105488, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 18.005734042198167, 'e_i_weight': 4.123993381426582, 'i_e_weight': 5.263733666006663, 'i_frequency': 10.008643452226194, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",814,1.9882126187310771,1.0,273,0
1655,1.3298635520850381,"{'attractor_size': 64, 'background_activity': 15.803894748080234, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 16.408989712752675, 'e_i_weight': 4.409663007424663, 'i_e_weight': 5.529314053997056, 'i_frequency': 10.012941884532857, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",1655,1.9993267455726587,0.996268656716418,267,1
1297,1.3292967031713507,"{'attractor_size': 64, 'background_activity': 15.353276433133523, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 18.430245542099076, 'e_i_weight': 4.115643048798063, 'i_e_weight': 6.493000163220888, 'i_frequency': 10.027149692865631, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",1297,1.9937046439603696,0.9970326409495549,336,1
1112,1.329093813911429,"{'attractor_size': 64, 'background_activity': 15.599643019981258, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 16.836481018674622, 'e_i_weight': 4.420172271442504, 'i_e_weight': 6.549913944756857, 'i_frequency': 10.02283798436035, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",1112,2.0198921604986166,0.9903846153846154,309,3
785,1.327391053681652,"{'attractor_size': 64, 'background_activity': 13.431590546398038, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 18.855723920071263, 'e_i_weight': 5.18215951370977, 'i_e_weight': 6.017087978789313, 'i_frequency': 10.693533669311417, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",785,1.9856658700013337,0.9969040247678018,322,1
997,1.326964887846278,"{'attractor_size': 64, 'background_activity': 14.296559473123041, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 17.8345975052176, 'e_i_weight': 4.384073547240107, 'i_e_weight': 6.765189604966748, 'i_frequency': 10.00391021239471, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",997,1.9856451514231344,0.9964285714285714,279,1
1026,1.326203695472262,"{'attractor_size': 64, 'background_activity': 13.571744364329218, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 17.313443789623832, 'e_i_weight': 5.199349283851459, 'i_e_weight': 5.979517919173043, 'i_frequency': 10.505699329486244, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",1026,1.9682561132504204,1.0,239,0
826,1.326083697636615,"{'attractor_size': 64, 'background_activity': 12.94031416390385, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 17.467873902782244, 'e_i_weight': 4.839308613892008, 'i_e_weight': 5.982156165447739, 'i_frequency': 10.015291165457446, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",826,1.9677275842506217,1.0,289,0
1296,1.3257476986140815,"{'attractor_size': 64, 'background_activity': 14.008199174269985, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 17.412204076494238, 'e_i_weight': 4.574191138122258, 'i_e_weight': 5.970456430691491, 'i_frequency': 10.92377028885031, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",1296,1.989394505927451,0.9941176470588236,338,2
1605,1.3257044192669412,"{'attractor_size': 64, 'background_activity': 14.13813064145868, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 16.684600081529744, 'e_i_weight': 4.966276109157775, 'i_e_weight': 6.318287639190862, 'i_frequency': 10.002480784269109, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",1605,1.9784064287395164,0.9968354430379747,315,1
1643,1.3256773587886888,"{'attractor_size': 64, 'background_activity': 14.188220000063122, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 19.115323513469257, 'e_i_weight': 4.774291811178806, 'i_e_weight': 6.122763064822161, 'i_frequency': 10.003201182476495, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",1643,2.0070405141752286,0.9896907216494846,288,3
665,1.3253177279232038,"{'attractor_size': 64, 'background_activity': 14.68647545012203, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 14.068226277922943, 'e_i_weight': 5.104186333701502, 'i_e_weight': 5.966651444660508, 'i_frequency': 10.02077943285155, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",665,1.9752575054489605,0.9971988795518207,356,1
1736,1.3252623748260568,"{'attractor_size': 64, 'background_activity': 15.100460266004717, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 19.16175836229713, 'e_i_weight': 4.710874227444317, 'i_e_weight': 5.510333393903878, 'i_frequency': 10.79702280700429, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",1736,1.9775550757096392,0.996551724137931,289,1
1603,1.3251376802156924,"{'attractor_size': 64, 'background_activity': 13.633242400372492, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 17.40818441161715, 'e_i_weight': 4.786947272146786, 'i_e_weight': 5.515114101622215, 'i_frequency': 10.020616369275633, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",1603,1.9863094412483977,0.9942028985507246,343,2
1183,1.3248245477586122,"{'attractor_size': 64, 'background_activity': 14.56912902960175, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 17.559402804332642, 'e_i_weight': 4.6995653746511294, 'i_e_weight': 6.603779812516066, 'i_frequency': 10.608525749634202, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",1183,1.962193002367868,1.0,325,0
790,1.3242706226224228,"{'attractor_size': 64, 'background_activity': 14.449008662179475, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 19.397853556314264, 'e_i_weight': 4.256843277934621, 'i_e_weight': 5.008909362286738, 'i_frequency': 10.531824471896845, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",790,1.9597647622806553,1.0,334,0
1058,1.3238370908901576,"{'attractor_size': 64, 'background_activity': 13.02582076102997, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 18.557028459728965, 'e_i_weight': 4.7406533056231535, 'i_e_weight': 5.013698531268735, 'i_frequency': 10.033023034943295, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",1058,1.9687866765893212,0.9971751412429378,353,1
1304,1.3236793405612997,"{'attractor_size': 64, 'background_activity': 14.00982284104234, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 18.291589699804963, 'e_i_weight': 4.461988075066999, 'i_e_weight': 5.22641432690929, 'i_frequency': 10.041704348057669, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",1304,1.9906678922615701,0.9914772727272727,349,3
1233,1.3235773792329124,"{'attractor_size': 64, 'background_activity': 15.121546121941378, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 17.736769447474167, 'e_i_weight': 4.387326194525453, 'i_e_weight': 5.296804922445108, 'i_frequency': 10.61550196859605, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",1233,1.9689233397197392,0.9968454258675079,316,1
956,1.3231340639367026,"{'attractor_size': 64, 'background_activity': 14.553219023922303, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 19.606911800739667, 'e_i_weight': 4.241156086035234, 'i_e_weight': 7.19316550883148, 'i_frequency': 10.000752664525537, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",956,1.977601993046337,0.9941348973607038,339,2
402,1.3225574498192316,"{'attractor_size': 64, 'background_activity': 13.200781060635679, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 13.32637361575288, 'e_i_weight': 5.436763837394536, 'i_e_weight': 5.7098929512698025, 'i_frequency': 10.02874852781457, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",402,1.9522798641247454,1.0,236,0
1302,1.3225514146158361,"{'attractor_size': 64, 'background_activity': 14.422223862556356, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 17.812439532063937, 'e_i_weight': 4.8507589627156635, 'i_e_weight': 6.352962168878043, 'i_frequency': 10.01933676921431, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",1302,1.9797624477190792,0.9929328621908127,281,2
975,1.3221269969216283,"{'attractor_size': 64, 'background_activity': 15.478387176649848, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 17.547675504945893, 'e_i_weight': 4.3487227365847785, 'i_e_weight': 5.470937907056212, 'i_frequency': 10.59902769917101, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",975,1.964703538684863,0.9962825278810409,268,1
1048,1.3219875727155646,"{'attractor_size': 64, 'background_activity': 13.232239928336135, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 18.95600255086463, 'e_i_weight': 5.277928551960355, 'i_e_weight': 5.005094914858178, 'i_frequency': 10.048539838443368, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",1048,1.9749669856081644,0.9935064935064936,306,2
1743,1.3219722159469436,"{'attractor_size': 64, 'background_activity': 14.934259781815491, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 18.752329644417156, 'e_i_weight': 4.835164767926059, 'i_e_weight': 5.007054358396009, 'i_frequency': 10.005919751619238, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",1743,1.9497316290559232,1.0,197,0
581,1.3218750942250546,"{'attractor_size': 64, 'background_activity': 13.253665344839703, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 18.854531719783708, 'e_i_weight': 5.356591370068518, 'i_e_weight': 5.008564255901215, 'i_frequency': 10.02103724128388, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",581,1.9902918502032882,0.9895470383275261,284,3
1057,1.3216846798979898,"{'attractor_size': 64, 'background_activity': 15.49103554973225, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 17.15745133505945, 'e_i_weight': 4.517219839198038, 'i_e_weight': 5.948413971848399, 'i_frequency': 10.593792925859367, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",1057,1.9748369495445093,0.9931972789115646,292,2
1668,1.321081453634994,"{'attractor_size': 64, 'background_activity': 14.786180000150372, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 17.351197194865428, 'e_i_weight': 4.3127924219284335, 'i_e_weight': 5.00729007605243, 'i_frequency': 10.00758922436874, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",1668,1.9819036383466582,0.9907407407407407,321,3
1758,1.3203733670512405,"{'attractor_size': 64, 'background_activity': 14.555079745220986, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 16.208735807364047, 'e_i_weight': 4.389507226783914, 'i_e_weight': 5.657682808742093, 'i_frequency': 11.982634899600244, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",1758,1.9427922671635356,1.0,312,0
1595,1.32024996179296,"{'attractor_size': 64, 'background_activity': 14.273440316307692, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 16.920230875082474, 'e_i_weight': 4.640166499910755, 'i_e_weight': 5.00337780294437, 'i_frequency': 11.003690862508329, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",1595,1.982082665527123,0.9897610921501706,290,3
